username,trust_score_pcc,trust_score_pr,trust_score,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,gender,location,ethnicity,occupation,marital_status,children,religion,sexual_orientation,sex,description,age_bin,description_set,description_stem,description_stem_set
emir06,0.00045897915221176884,0.0027008240701579768,0.0015799016111848728,8486.0,8486.0,8486.0,0.0,39.0,male,"celaya, gto., mexico",hispanic,tecnico laboratorista,divorced,1-2 living with me,christian,straight,male,,31-40,,,
yli,0.0005540699607563936,0.0025188836250745173,0.0015364767929154555,1144.0,1144.0,1144.0,0.0,34.0,female,"cajamarca, peru",hispanic,tecnica,single,no children,christian,straight,female,,31-40,,,
dorisa,0.0005626662759894832,0.002494104509578704,0.0015283853927840936,28295.0,28295.0,28295.0,0.0,53.0,female,"departamento de santa barbara, honduras",hispanic,,single,1-2 living elsewhere,spiritual,straight,female,,51-60,,,
nana2,0.0005206209847204041,0.0024914384105913217,0.0015060296976558629,6490.0,6490.0,6490.0,0.0,54.0,female,"zaporizhzhia, zaporizhia oblast, ukraine, 69061",white,administrator,single,1-2 living with me,christian,straight,female,,51-60,,,
freespirit4ever,0.00020484301765708618,0.0027984213519245686,0.0015016321847908273,3.0,3.0,3.0,0.0,55.0,male,"sherman oaks, los angeles, ca, usa",mixed,engineer,single,no children,spiritual,straight,male,,51-60,,,
galte,0.0004442547234009074,0.0025538684980151156,0.0014990616107080116,47237.0,47238.0,47238.0,0.0,43.0,female,"guadalajara, jal, mexico",hispanic,,widowed,more than 2 living with me,spiritual,straight,female,"hello i am a very dynamic and cheerful woman who likes art and i have dedicated myself to this for many years. 
i like to meet a man with a strong commitment to family and life. to befriend and maybe after a nice relationship.",41-50,"{'hello', 'nice', 'maybe', 'life', 'many', 'art', 'meet', 'woman', 'relationship', 'strong', 'man', 'dedicated', 'family', 'like', 'likes', 'befriend', 'cheerful', 'dynamic', 'years', 'commitment'}",hello dynam cheer woman like art dedic mani year like meet man strong commit famili life befriend mayb nice relationship,"{'cheer', 'hello', 'nice', 'dedic', 'life', 'art', 'meet', 'woman', 'commit', 'mani', 'relationship', 'strong', 'man', 'year', 'dynam', 'like', 'befriend', 'famili', 'mayb'}"
jonatancali,0.0019666663130338113,0.001022854643986717,0.001494760478510264,40136.0,40137.0,40137.0,0.0,35.0,male,"cali, cali, valle del cauca, colombia",hispanic,ingeniero en sistemas,single,1-2 living elsewhere,christian,straight,male,,31-40,,,
abela,0.002005441735397291,0.0009699196735819097,0.0014876807044896002,7637.0,7637.0,7637.0,0.0,34.0,male,"holguin, cuba",white,,single,no children,atheist,straight,male,,31-40,,,
lamorenota,0.00028431694438356474,0.0026883115921780046,0.0014863142682807846,36733.0,36734.0,36734.0,0.0,37.0,female,"reynosa, tamps., mexico",hispanic,,single,1-2 living with me,christian,straight,female,,31-40,,,
jean220892,0.000327718692406138,0.002604353033037881,0.0014660358627220094,3983.0,3983.0,3983.0,0.0,31.0,male,"valencia, carabobo, venezuela",hispanic,law student,single,no children,spiritual,straight,male,28 years old. law student. animals lover. funny. loyal.,31-40,"{'old', 'law', '28', 'years', 'funny', 'loyal', 'animals', 'student', 'lover'}",28 year old law student anim lover funni loyal,"{'old', 'law', '28', 'anim', 'loyal', 'funni', 'student', 'lover', 'year'}"
maricelp,0.0003704249471677671,0.002504976117273115,0.0014377005322204412,38820.0,38821.0,38821.0,0.0,42.0,female,"iloilo city, iloilo, philippines",mixed,,single,no children,christian,straight,female,,41-50,,,
liss25,0.0004839043892452884,0.0023722981530295132,0.001428101271137401,3643.0,3643.0,3643.0,0.0,29.0,female,"puerto ordaz, ciudad guayana 8050, bolivar, venezuela",hispanic,estudiante de gastronomia,single,no children,spiritual,straight,female,,21-30,,,
windsong50,0.002600968794864765,0.00022529841612909968,0.0014131336054969323,42502.0,42503.0,42503.0,0.0,58.0,female,"dallas, tx, usa",black,healthcare,divorced,no children,christian,straight,female,,51-60,,,
mariaj234567,0.00018237040927543497,0.0026166830191686093,0.0013995267142220221,2713.0,2713.0,2713.0,0.0,42.0,female,"castelar, provincia de buenos aires, argentina",hispanic,comerciante,single,no children,christian,straight,female,,41-50,,,
nin,0.0004776604959604831,0.0023211605279346115,0.0013994105119475473,20096.0,20096.0,20096.0,0.0,50.0,female,"kyiv, ukraine, 02000",white,,single,1-2 living with me,spiritual,straight,female,,51-60,,,
petter2991,0.00024821552411118407,0.002480336843861695,0.0013642761839864396,19303.0,19303.0,19303.0,0.0,31.0,male,"buenos aires, caba, argentina",white,,single,want children,other,bisexual,male,,31-40,,,
lissadry,0.00016092510114220786,0.0025637187527404485,0.0013623219269413283,14775.0,14775.0,14775.0,0.0,40.0,female,"montreal, qc, canada",white,secretaria,separated,1-2 living with me,other,straight,female,,41-50,,,
cheeky_girl,0.00010914011138335427,0.0025994006976188806,0.0013542704045011174,2498.0,2498.0,2498.0,0.0,36.0,female,"munich, germany",white,,single,1-2 living with me,christian,straight,female,,31-40,,,
michi182,0.0003259583357721704,0.002373111224691202,0.0013495347802316862,31580.0,31580.0,31580.0,0.0,29.0,female,"valencia, carabobo, venezuela",hispanic,licenciada en idiomas modernos,,no children,atheist,straight,female,,21-30,,,
nanett,0.0024716843817224553,0.00016574061117949405,0.0013187124964509746,39118.0,39119.0,39119.0,0.0,38.0,female,"lyon, france",white,ingeniero,single,1-2 living with me,other,straight,female,,31-40,,,
brownsvillejd,0.001488768958899494,0.001136593685906924,0.001312681322403209,7278.0,7278.0,7278.0,0.0,63.0,male,"brownsville, tx, usa",white,attorney,separated,1-2 living elsewhere,christian,straight,male,"i practice law in the rio grande valley and enjoy all the magic valley offers. 

also, as a former chief corporate radiation safety officer science and biology, especially, also fascinate me
i recently moved to the area and found an indoor swordsmanship program to complement my love for outdoors. the beach especially draws me out. weekends find me catching live music or theater performances. my residence sits next to a resaca with beautiful waterfowl and wildlife. meeting someone who also likes cooking gourmet meals would be a plus. cooking and experimenting inspires me. i sailed a tall ship and performed in a touring band at various points in my life. if you are interested in kite boarding, surfing, or fishing you may be able to add some new activities to my repertoire. i am really receptive to new experiences. if you enjoy dancing i can put the spotlight on you.",61-70,"{'points', 'love', 'swordsmanship', 'various', 'program', 'enjoy', 'found', 'ship', 'practice', 'chief', 'touring', 'next', 'also', 'really', 'experimenting', 'life', 'recently', 'law', 'waterfowl', 'draws', 'live', 'performed', 'boarding', 'sits', 'music', 'receptive', 'repertoire', 'sailed', 'plus', 'science', 'corporate', 'officer', 'beach', 'spotlight', 'radiation', 'tall', 'area', 'grande', 'theater', 'surfing', 'meals', 'fishing', 'rio', 'outdoors', 'biology', 'dancing', 'offers', 'likes', 'wildlife', 'add', 'catching', 'find', 'kite', 'residence', 'fascinate', 'may', 'performances', 'beautiful', 'magic', 'former', 'new', 'complement', 'would', 'interested', 'valley', 'indoor', 'meeting', 'band', 'resaca', 'activities', 'experiences', 'weekends', 'inspires', 'moved', 'gourmet', 'put', 'able', 'cooking', 'especially', 'someone', 'safety'}",practic law rio grand valley enjoy magic valley offer also former chief corpor radiat safeti offic scienc biolog especi also fascin recent move area found indoor swordsmanship program complement love outdoor beach especi draw weekend find catch live music theater perform resid sit next resaca beauti waterfowl wildlif meet someon also like cook gourmet meal would plu cook experi inspir sail tall ship perform tour band variou point life interest kite board surf fish may abl add new activ repertoir realli recept new experi enjoy danc put spotlight,"{'recent', 'love', 'swordsmanship', 'program', 'inspir', 'enjoy', 'fascin', 'found', 'ship', 'fish', 'chief', 'especi', 'sit', 'next', 'practic', 'also', 'board', 'repertoir', 'life', 'danc', 'law', 'waterfowl', 'wildlif', 'live', 'music', 'offer', 'beauti', 'weekend', 'safeti', 'offic', 'activ', 'meal', 'plu', 'outdoor', 'beach', 'spotlight', 'recept', 'cook', 'tall', 'scienc', 'area', 'meet', 'someon', 'variou', 'theater', 'rio', 'move', 'radiat', 'experi', 'draw', 'add', 'biolog', 'find', 'grand', 'kite', 'may', 'surf', 'magic', 'former', 'abl', 'complement', 'new', 'would', 'corpor', 'tour', 'perform', 'sail', 'point', 'valley', 'indoor', 'band', 'resaca', 'realli', 'catch', 'resid', 'like', 'gourmet', 'interest', 'put'}"
laura68,0.0016400089399960958,0.0009691761005022464,0.001304592520249171,3162.0,3162.0,3162.0,0.0,55.0,female,"san jose, costa rica",hispanic,profesora de artes plastica,divorced,more than 2 living elsewhere,christian,straight,female,,51-60,,,
ave,0.0021381659690665167,0.0004676110432176157,0.0013028885061420663,29901.0,29901.0,29901.0,0.0,58.0,female,"davao city, davao del sur, philippines",asian,clerk,single,no children,christian,straight,female,hello everyone. thanks for dropping on my profile. i'm here to meet new people from across the globe to build friendship and who know what god has plan for me.,51-60,"{'m', 'across', 'new', 'everyone', 'know', 'hello', 'globe', 'profile', 'people', 'dropping', 'thanks', 'plan', 'friendship', 'meet', 'god', 'build'}",hello everyon thank drop profil m meet new peopl across globe build friendship know god plan,"{'m', 'build', 'everyon', 'new', 'across', 'know', 'drop', 'hello', 'globe', 'profil', 'peopl', 'plan', 'friendship', 'meet', 'god', 'thank'}"
m22a,0.0016419963462970752,0.0009635402910697932,0.0013027683186834342,26591.0,26591.0,26591.0,0.0,43.0,female,"juigalpa, nicaragua",hispanic,secretaria,divorced,1-2 living with me,christian,straight,female,,41-50,,,
marcela57,0.00025430698690688585,0.0023419642678339995,0.0012981356273704427,36353.0,36354.0,36354.0,0.0,36.0,female,"bello, antioquia, colombia",hispanic,,single,no children,other,straight,female,,31-40,,,
missbond,0.0008628364613825763,0.001731412863462629,0.0012971246624226026,13047.0,13047.0,13047.0,0.0,56.0,female,"kyiv, ukraine, 02000",white,manager,divorced,no children,christian,straight,female,i am a kind and affectionate woman with a good education and manners. a good sense of humor helps to communicate easily with people. i'm open to communication. want to know more? write me a letter...,51-60,"{'kind', 'communicate', 'letter', 'woman', 'easily', 'want', 'write', 'sense', 'affectionate', 'good', 'm', 'know', 'open', 'education', 'manners', 'communication', 'humor', 'people', 'helps'}",kind affection woman good educ manner good sens humor help commun easili peopl m open commun want know write letter,"{'m', 'kind', 'know', 'commun', 'open', 'humor', 'educ', 'peopl', 'manner', 'easili', 'help', 'want', 'sens', 'good', 'affection', 'write', 'letter', 'woman'}"
sanda,0.00021862033846137993,0.0023735529154614294,0.0012960866269614048,20823.0,20823.0,20823.0,0.0,37.0,female,"ungheni, moldova",white,,single,no children,christian,straight,female,,31-40,,,
servicedogtrainer,0.0021157769716057,0.0004683283752326454,0.0012920526734191728,10168.0,10168.0,10168.0,0.0,79.0,female,"hampton, va, usa",mixed,retired/ full time volunteer/ non-profit,widowed,more than 2 living elsewhere,spiritual,straight,female,"i train service dogs for the disabled. i'm retired from a private counseling practice and a widow of 10 years. life's good and would even be better if there were someone else to do the things that are more fun for two. i have many acquaintances, but no one special person to share it all. i'm told i don't look or act my age; actually i relax by doing things that make me smile.",71-80,"{'actually', 'widow', 'life', 'look', 'many', 'would', 'acquaintances', 'relax', 'even', 'fun', 'one', 'told', '10', 'things', 'good', 'else', 'act', 'counseling', 'private', 'age', 's', 'm', 'dogs', 'two', 'share', 'practice', 'person', 'smile', 'make', 'train', 'nt', 'retired', 'years', 'better', 'someone', 'service', 'special', 'disabled'}",train servic dog disabl m retir privat counsel practic widow 10 year life s good would even better someon els thing fun two mani acquaint one special person share m told nt look act age actual relax thing make smile,"{'widow', 'life', 'look', 'would', 'els', 'someon', 'acquaint', 'mani', 'relax', 'even', 'fun', 'one', 'told', 'disabl', '10', 'good', 'act', 'privat', 'age', 's', 'actual', 'year', 'm', 'two', 'share', 'person', 'thing', 'smile', 'retir', 'make', 'train', 'nt', 'dog', 'better', 'practic', 'special', 'counsel', 'servic'}"
mariale8p,0.002278610355169759,0.00028650072636870555,0.0012825555407692322,40059.0,40060.0,40060.0,0.0,35.0,female,"bogota, bogota, colombia",hispanic,disenadora grafica,single,no children,atheist,straight,female,"i am a happy woman,i consider myself as a very talkative person,funny,i enjoy to cook,i like art,culture,i like to learn new things
i am ready to live

soy una persona tranquila,me considero dulce y amable. me gusta el arte,la cultura,cocinar y aprender de la vida.
muy exigente con la ortografía y gramática del español que es el idioma que hablo",31-40,"{'dulce', 'happy', 'persona', 'new', 'cook', 'soy', 'considero', 'es', 'art', 'learn', 'woman', 'culture', 'talkative', 'ortografa', 'consider', 'things', 'una', 'enjoy', 'de', 'ready', 'tranquila', 'live', 'vida', 'del', 'hablo', 'amable', 'person', 'espaol', 'cocinar', 'like', 'la', 'gramtica', 'el', 'muy', 'exigente', 'idioma', 'gusta', 'con', 'cultura', 'que', 'aprender', 'arte', 'funny'}",happi woman consid talk person funni enjoy cook like art cultur like learn new thing readi live soy una persona tranquila considero dulc amabl gusta el art la cultura cocinar aprend de la vida muy exigent con la ortografa gramtica del espaol que es el idioma que hablo,"{'persona', 'new', 'talk', 'cook', 'soy', 'considero', 'amabl', 'es', 'happi', 'art', 'exigent', 'cultur', 'learn', 'woman', 'ortografa', 'aprend', 'funni', 'una', 'enjoy', 'de', 'tranquila', 'live', 'vida', 'del', 'hablo', 'person', 'espaol', 'dulc', 'thing', 'cocinar', 'like', 'consid', 'la', 'el', 'muy', 'gramtica', 'idioma', 'gusta', 'con', 'cultura', 'que', 'readi'}"
sky32,7.63499924966032e-05,0.002480248220267572,0.0012782991063820875,3953.0,3953.0,3953.0,0.0,23.0,female,"marana, az, usa",hispanic,utility worker in a restaurant,single,want children,christian,bisexual,female,i love animals and babies. i'm looking forward to motherhood more than anything. i have a secure job but unfortunately no car at the moment. i am super fun and loyal,21-30,"{'m', 'looking', 'babies', 'super', 'anything', 'fun', 'unfortunately', 'animals', 'secure', 'forward', 'job', 'car', 'loyal', 'love', 'moment', 'motherhood'}",love anim babi m look forward motherhood anyth secur job unfortun car moment super fun loyal,"{'m', 'moment', 'super', 'fun', 'anim', 'anyth', 'look', 'car', 'forward', 'job', 'motherhood', 'loyal', 'love', 'unfortun', 'secur', 'babi'}"
luzmalcd,0.0016334885478472838,0.0008608092656604508,0.0012471489067538673,13227.0,13227.0,13227.0,0.0,53.0,female,"medellin, antioquia, colombia",hispanic,independiente,single,1-2 living with me,spiritual,straight,female,,51-60,,,
neli1980,0.0017905525840361133,0.0005664551769121771,0.0011785038804741452,30560.0,30560.0,30560.0,0.0,43.0,female,"santiago de cuba, cuba",mixed,cuenta propia,separated,no children,other,straight,female,,41-50,,,
ivyxxviii,0.0017320569680640081,0.0006200589956721399,0.0011760579818680741,24496.0,24496.0,24496.0,0.0,31.0,female,"iligan city, lanao del norte, philippines",asian,administrative staff,single,want children,christian,straight,female,,31-40,,,
jessy,0.0021359724081658096,0.000149051214008327,0.0011425118110870683,20084.0,20084.0,20084.0,0.0,61.0,female,"petaling jaya, selangor, malaysia",asian,,single,1-2 living elsewhere,buddhist,straight,female,"i consider myself an animal lover, my pets are my closest companions, they teach me to have more patience in my life and to enjoy small things.
beside this, i love plants and gardening.",61-70,"{'gardening', 'companions', 'animal', 'pets', 'life', 'enjoy', 'consider', 'patience', 'things', 'beside', 'plants', 'closest', 'small', 'lover', 'love', 'teach'}",consid anim lover pet closest companion teach patienc life enjoy small thing besid love plant garden,"{'pet', 'patienc', 'garden', 'plant', 'anim', 'life', 'enjoy', 'thing', 'consid', 'besid', 'companion', 'closest', 'small', 'lover', 'love', 'teach'}"
cindym,0.0021359724081658096,0.000149051214008327,0.0011425118110870683,42539.0,42540.0,42540.0,0.0,64.0,female,"grant, mi 49327, usa",white,retired,widowed,1-2 living elsewhere,christian,straight,female,,61-70,,,
dianap2,0.0021359724081658096,0.000149051214008327,0.0011425118110870683,41927.0,41928.0,41928.0,0.0,51.0,female,"medellin, medellin, antioquia, colombia",hispanic,,single,1-2 living elsewhere,christian,straight,female,,51-60,,,
diosa29,0.0021359724081658096,0.000149051214008327,0.0011425118110870683,42483.0,42484.0,42484.0,0.0,43.0,female,"panama, panama",black,,separated,1-2 living with me,other,straight,female,,41-50,,,
josepbcn,0.0013336885383400708,0.000941759601312094,0.0011377240698260825,26329.0,26329.0,26329.0,0.0,63.0,male,"barcelona, espana",white,mecanico industrial,divorced,1-2 living elsewhere,christian,straight,male,,61-70,,,
gee2003,0.0016271499274125027,0.0006398190143372961,0.0011334844708748995,482.0,482.0,482.0,0.0,46.0,female,"kuala lumpur, federal territory of kuala lumpur, malaysia",asian,,divorced,1-2 living with me,other,straight,female,,41-50,,,
celina50,0.0016978773050316664,0.0005442919060114746,0.0011210846055215704,27083.0,27083.0,27083.0,0.0,56.0,female,"new york, ny, usa",white,comerciante,divorced,1-2 living with me,christian,straight,female,,51-60,,,
lisareid1961,0.001793925280412974,0.00039082049845249987,0.001092372889432737,41461.0,41462.0,41462.0,0.0,62.0,female,"carrollton, ga, usa",white,self,widowed,1-2 living elsewhere,christian,straight,female,"looking for friends to share different views with. was married a long time so looking for a new bucket list. i am interested in different parts of the world of how others live. also looking for a best friend that could lead to more. i like camping, get togethers, the beach , and bicycling. i love to walk and spend time with family.",61-70,"{'best', 'friend', 'new', 'walk', 'long', 'friends', 'bicycling', 'different', 'parts', 'spend', 'time', 'love', 'togethers', 'looking', 'interested', 'get', 'family', 'live', 'share', 'list', 'like', 'could', 'lead', 'married', 'camping', 'others', 'also', 'world', 'views', 'bucket', 'beach'}",look friend share differ view marri long time look new bucket list interest differ part world other live also look best friend could lead like camp get togeth beach bicycl love walk spend time famili,"{'best', 'friend', 'new', 'walk', 'bicycl', 'long', 'look', 'other', 'togeth', 'spend', 'time', 'love', 'part', 'get', 'differ', 'live', 'share', 'list', 'like', 'could', 'marri', 'famili', 'camp', 'interest', 'lead', 'view', 'also', 'world', 'bucket', 'beach'}"
lightningbug,0.0018232330380013523,0.00026373068799342563,0.001043481862997389,11608.0,11608.0,11608.0,0.0,43.0,female,"columbus, ga, usa",white,,single,no children,christian,straight,female,,41-50,,,
hyangel1974,0.0010203115007691042,0.0010386725816298084,0.0010294920411994563,28183.0,28183.0,28183.0,0.0,49.0,female,"singapore, singapore",asian,self employed,separated,more than 2 living with me,christian,straight,female,,41-50,,,
markanthony1962,0.00109745432286267,0.0009281704297951516,0.0010128123763289108,8541.0,8541.0,8541.0,0.0,61.0,male,"missouri, usa",hispanic,disc jockey,single,no children,spiritual,straight,male,"hope you enjoy the site and what is has to offer, a great community atmosphere with the potential of making some great new friends from all over the world and who knows....if you have an open mind......maybe a lifetime of love. 

good luck in all you do and thanks for looking ; ) and don't be surprised if i....look back !: - ) lol",61-70,"{'new', 'maybe', 'look', 'friends', 'mind', 'great', 'surprised', 'love', 'looking', 'knows', 'site', 'making', 'thanks', 'good', 'luck', 'enjoy', 'community', 'lol', 'open', 'lifetime', 'offer', 'hope', 'back', 'atmosphere', 'nt', 'world', 'potential'}",hope enjoy site offer great commun atmospher potenti make great new friend world know open mind mayb lifetim love good luck thank look nt surpris look back lol,"{'friend', 'new', 'potenti', 'look', 'mind', 'great', 'love', 'thank', 'site', 'good', 'luck', 'enjoy', 'lol', 'know', 'commun', 'open', 'atmospher', 'make', 'offer', 'hope', 'surpris', 'back', 'nt', 'mayb', 'lifetim', 'world'}"
matcope,0.0003213060761918222,0.0016948300415290788,0.0010080680588604506,31152.0,31152.0,31152.0,0.0,57.0,male,"kansas, usa",black,paralegal,separated,want children,spiritual,straight,male,"i am very gentle about my approach to all things, so i am a teddy bear when it comes to love and romance. i’m a romantics poet, i love writing poetry about love and the beauty of a woman. i think all women are uniquely beautiful in their own way. i believe women are roses and men are thorns. women should always be respected and adored. i care about what image i project and the perception i create, so i’m always wanting to project an image that i can be proud of. that comes by being respectful and mindful of what a woman wants. looking for friendship, romance, discreet love that is safe and assuring",51-60,"{'always', 'men', 'women', 'perception', 'writing', 'believe', 'safe', 'respectful', 'assuring', 'gentle', 'adored', 'create', 'love', 'woman', 'comes', 'image', 'looking', 'roses', 'teddy', 'things', 'project', 'uniquely', 'beauty', 'think', 'poet', 'respected', 'poetry', 'wanting', 'way', 'wants', 'romance', 'romantics', 'friendship', 'discreet', 'thorns', 'bear', 'approach', 'care', 'proud', 'beautiful', 'mindful'}",gentl approach thing teddi bear come love romanc romant poet love write poetri love beauti woman think women uniqu beauti way believ women rose men thorn women alway respect ador care imag project percept creat alway want project imag proud come respect mind woman want look friendship romanc discreet love safe assur,"{'teddi', 'men', 'women', 'gentl', 'look', 'mind', 'safe', 'alway', 'love', 'woman', 'believ', 'romanc', 'poetri', 'assur', 'respect', 'want', 'write', 'ador', 'project', 'thorn', 'percept', 'think', 'poet', 'romant', 'uniqu', 'creat', 'way', 'thing', 'come', 'friendship', 'discreet', 'beauti', 'imag', 'bear', 'approach', 'care', 'rose', 'proud'}"
kathysson,0.0001350952014907717,0.0018734554799034317,0.0010042753406971016,8283.0,8283.0,8283.0,0.0,38.0,female,"quibdo, choco, colombia",black,profesora,separated,1-2 living with me,spiritual,straight,female,,31-40,,,
rs128,0.0010000225704130715,0.0010084833503463154,0.0010042529603796935,781.0,781.0,781.0,0.0,65.0,male,"baltimore, oh 43105, usa",white,,divorced,1-2 living elsewhere,christian,straight,male,been alone for a while now. looking to find someone to share different things and interests. need to get some exercise and to be happy.,61-70,"{'find', 'happy', 'need', 'alone', 'looking', 'exercise', 'share', 'someone', 'get', 'different', 'things', 'interests'}",alon look find someon share differ thing interest need get exercis happi,"{'find', 'need', 'interest', 'exercis', 'share', 'look', 'thing', 'alon', 'get', 'happi', 'differ', 'someon'}"
alicia49,0.001221739503988357,0.0007603054676443086,0.0009910224858163327,20201.0,20201.0,20201.0,0.0,54.0,female,"hermosillo, son., mexico",hispanic,,separated,1-2 living with me,christian,straight,female,,51-60,,,
jjjbj1968,0.0013177425466811043,0.0006619512979383693,0.0009898469223097368,40105.0,40106.0,40106.0,0.0,55.0,male,"la habana, cuba",hispanic,administrador,divorced,want children,other,straight,male,,51-60,,,
minaj7,0.0014828672587607864,0.000465020204011971,0.0009739437313863787,32068.0,32068.0,32068.0,0.0,31.0,female,"alajuela province, alajuela, costa rica",,en casa,single,no children,christian,straight,female,,31-40,,,
jojoswe,0.0006126822622601212,0.0013243791079581607,0.000968530685109141,403.0,403.0,403.0,0.0,53.0,male,"orebro, sweden",white,machine tech,separated,1-2 living elsewhere,atheist,straight,male,"nice, easy going calm man from sweden looking for a nice , positive to life , non smoking woman for meetings in real. and perhaps become more than friends if the chemestry feels right.",51-60,"{'become', 'nice', 'life', 'friends', 'chemestry', 'woman', 'feels', 'looking', 'perhaps', 'non', 'real', 'man', 'sweden', 'calm', 'right', 'smoking', 'going', 'easy', 'positive', 'meetings'}",nice easi go calm man sweden look nice posit life non smoke woman meet real perhap becom friend chemestri feel right,"{'friend', 'nice', 'posit', 'look', 'life', 'meet', 'feel', 'woman', 'smoke', 'non', 'real', 'man', 'sweden', 'calm', 'right', 'perhap', 'easi', 'chemestri', 'go', 'becom'}"
malelooking,0.0010120185961429943,0.0008744316959036227,0.0009432251460233085,44788.0,44789.0,44789.0,0.0,56.0,male,"meridian, ms, usa",white,retired,single,1-2 living elsewhere,christian,straight,male,retired army looking for travel buddy,51-60,"{'army', 'looking', 'retired', 'travel', 'buddy'}",retir armi look travel buddi,"{'armi', 'look', 'retir', 'buddi', 'travel'}"
vaudry44,0.0007009992519194936,0.001138390710353603,0.0009196949811365483,5988.0,5988.0,5988.0,0.0,48.0,male,"bothell, wa, usa",white,professor,single,no children,other,straight,male,,41-50,,,
gabriela1960,0.0014055776649271694,0.000426501794728447,0.0009160397298278082,27522.0,27522.0,27522.0,0.0,63.0,female,"constanta, romania",white,engineer,divorced,1-2 living elsewhere,atheist,straight,female,"very private and rather shy.good sense of humour and very inquisitive mind.very independent,like to read a lot,enjoy beeing outdoors,love animals.
looking for friends my age to talk for starters and see what happens.",61-70,"{'mindvery', 'talk', 'friends', 'inquisitive', 'love', 'see', 'rather', 'looking', 'outdoors', 'sense', 'enjoy', 'private', 'age', 'lot', 'happens', 'animals', 'like', 'beeing', 'read', 'shygood', 'starters', 'humour', 'independent'}",privat rather shygood sens humour inquisit mindveri independ like read lot enjoy bee outdoor love anim look friend age talk starter see happen,"{'friend', 'talk', 'look', 'sens', 'love', 'see', 'rather', 'starter', 'enjoy', 'age', 'lot', 'privat', 'inquisit', 'bee', 'anim', 'happen', 'like', 'independ', 'read', 'humour', 'mindveri', 'outdoor', 'shygood'}"
alexg2,0.0015502353840971892,0.0002536375658585925,0.0009019364749778909,22013.0,22013.0,22013.0,0.0,52.0,male,"cucuta, cucuta, norte de santander, colombia",hispanic,,single,1-2 living elsewhere,christian,straight,male,,51-60,,,
marianita,0.0014462438988655643,0.0003394642349228852,0.0008928540668942248,23433.0,23433.0,23433.0,0.0,36.0,female,"managua, nicaragua",mixed,atencion al cliente,single,1-2 living with me,other,straight,female,,31-40,,,
mariotc,0.0007632144611714145,0.001020947587788809,0.0008920810244801118,23537.0,23537.0,23537.0,0.0,49.0,male,"santiago, region metropolitana, chile",hispanic,,single,1-2 living elsewhere,christian,straight,male,,41-50,,,
michael14,0.0014274649077714975,0.0003378485161105193,0.0008826567119410084,780.0,780.0,780.0,0.0,62.0,male,"chesterfield, derbyshire, uk",white,,single,no children,christian,straight,male,"i am shy quiet honest friendly very interested in photography video, i enjoy going for walks in the countryside, like visiting nature reserves, old historic buildings and interested in paleontology.",61-70,"{'video', 'countryside', 'interested', 'quiet', 'historic', 'enjoy', 'nature', 'going', 'like', 'photography', 'shy', 'old', 'friendly', 'paleontology', 'reserves', 'buildings', 'walks', 'visiting', 'honest'}",shi quiet honest friendli interest photographi video enjoy go walk countrysid like visit natur reserv old histor build interest paleontolog,"{'video', 'walk', 'countrysid', 'natur', 'reserv', 'quiet', 'enjoy', 'friendli', 'shi', 'visit', 'photographi', 'paleontolog', 'like', 'go', 'old', 'interest', 'histor', 'build', 'honest'}"
angel7,0.0007555127005710447,0.0009929301981293508,0.0008742214493501978,40996.0,40997.0,40997.0,0.0,31.0,female,"cotui 43000, republica dominicana",hispanic,artesana,single,1-2 living with me,other,straight,female,,31-40,,,
lkn4luv6269,0.0008333340222704878,0.0009107069191821892,0.0008720204707263385,25626.0,25626.0,25626.0,0.0,63.0,male,"phoenix, az, usa",white,,separated,1-2 living with me,christian,straight,male,,61-70,,,
oscar1967,1.2321104048691471e-05,0.0017172553213915716,0.0008647882127201316,1966.0,1966.0,1966.0,0.0,56.0,male,"miguel aleman, tamps., mexico",hispanic,ganadero,divorced,1-2 living elsewhere,other,straight,male,,51-60,,,
jem16,0.0013870266898261157,0.0003287617898529632,0.0008578942398395394,7318.0,7318.0,7318.0,0.0,45.0,female,"san jose, california, ee. uu.",hispanic,empresaria,divorced,1-2 living with me,other,straight,female,,41-50,,,
veronica97abad,0.0010469726563410654,0.0006682505721906302,0.0008576116142658478,14383.0,14383.0,14383.0,0.0,26.0,female,"loja, ecuador",mixed,estudiante,single,no children,other,straight,female,,21-30,,,
dixon43,0.00026210153224448085,0.0013903679042306701,0.0008262347182375754,13967.0,13967.0,13967.0,0.0,48.0,male,"puerto maldonado, peru",white,independiente,single,no children,christian,straight,male,,41-50,,,
michellew23,0.001410402010108428,0.00020411148263452456,0.0008072567463714762,31954.0,31954.0,31954.0,0.0,49.0,female,"nyngan nsw 2825, australia",white,,separated,1-2 living with me,other,straight,female,,41-50,,,
